Time,Projectid,Projectname,Projectwithhours
2024-09-24 12:53:42,entry.1174823241,entry.114962959,entry.1271011164,,23.9.2024
2024-09-24 12:59:27,entry.1174823241,,1.8.2024
2024-09-24 13:00:10,entry.1174823241,,2.8.2024
2024-09-24 13:00:56,entry.1174823241,,3.8.2024
2024-09-24 13:01:12,entry.1174823241,,24.9.2024
2024-09-24 13:08:51,entry.1174823241,,5.8.2024
2024-09-24 13:09:22,entry.1174823241,,6.8.2024
2024-09-24 13:09:50,entry.1174823241,,7.8.2024
2024-09-24 13:52:06,entry.1174823241,,24.9.2024
2024-09-24 20:22:46,entry.1174823241,,8.8.2024
2024-09-24 20:23:03,entry.1174823241,,9.8.2024
2024-09-24 20:23:37,entry.1174823241,,12.8.2024
2024-09-24 20:23:58,entry.1174823241,,13.8.2024
2024-09-24 20:24:13,entry.1174823241,,14.8.2024
2024-09-24 20:24:32,entry.1174823241,,15.8.2024
2024-09-24 20:24:51,entry.1174823241,,16.8.2024
2024-09-24 21:42:29,entry.1174823241,,19.8.2024
2024-09-24 21:42:47,entry.1174823241,,20.8.2024
2024-09-24 21:43:13,entry.1174823241,,21.8.2024
2024-09-24 21:43:31,entry.1174823241,,22.8.2024
2024-09-24 21:43:51,entry.1174823241,,23.8.2024
2024-09-24 21:44:10,entry.1174823241,,26.8.2024
2024-09-24 21:44:24,entry.1174823241,,27.8.2024
2024-09-24 21:44:41,entry.1174823241,,28.8.2024
2024-09-24 21:44:57,entry.1174823241,,29.8.2024
2024-09-24 21:45:11,entry.1174823241,,31.8.2024
