Time,Projectid,Projectname,Projectwithhours
2024-10-04 10:07:45,entry.114962959,,4.10.2024
2024-10-04 10:08:10,entry.114962959,,3.10.2024
2024-10-04 13:30:10,entry.2029053668,,4.10.2024
2024-10-04 13:33:07,entry.2029053668,,3.10.2024
2024-10-04 13:34:24,entry.2029053668,,2.10.2024
2024-10-04 13:40:04,entry.2029053668,,23.9.2024
2024-10-04 13:42:33,entry.2029053668,,24.9.2024
2024-10-04 13:43:10,entry.2029053668,,25.9.2024
2024-10-04 13:43:51,entry.2029053668,,26.9.2024
2024-10-04 13:44:23,entry.2029053668,,27.9.2024
2024-10-04 13:47:00,entry.2029053668,,1.10.2024
