Time,Projectid,Projectname,Projectwithhours
2024-08-15 08:50:33,entry.114962959,,15.8.2024
2024-08-15 09:02:37,entry.114962959,,25.7.2024
2024-08-15 09:02:52,entry.114962959,,26.7.2024
2024-08-15 09:08:38,entry.744013520,,27.7.2024
2024-08-15 09:11:08,entry.744013520,,27.7.2024
2024-08-15 09:13:08,entry.744013520,,27.7.2024
2024-08-15 09:13:57,entry.744013520,,28.7.2024
2024-08-15 09:14:12,entry.744013520,,29.7.2024
2024-08-15 09:14:31,entry.744013520,,30.7.2024
2024-08-15 09:15:02,entry.744013520,,31.7.2024
2024-08-15 09:16:46,entry.744013520,,1.8.2024
2024-08-15 09:18:16,entry.744013520,,2.8.2024
2024-08-15 09:18:30,entry.744013520,,3.8.2024
2024-08-15 09:19:00,entry.744013520,,4.8.2024
2024-08-15 09:19:13,entry.744013520,,5.8.2024
2024-08-15 09:19:32,entry.744013520,,6.8.2024
2024-08-15 09:19:43,entry.744013520,,7.8.2024
2024-08-15 09:20:26,entry.744013520,,8.8.2024
2024-08-15 09:20:41,entry.744013520,,9.8.2024
2024-08-15 09:21:00,entry.744013520,,10.8.2024
2024-08-15 09:21:12,entry.744013520,,11.8.2024
2024-08-15 09:21:50,entry.114962959,,12.8.2024
2024-08-15 09:22:00,entry.114962959,,13.8.2024
2024-08-15 09:22:41,entry.114962959,,14.8.2024
