Time,Projectid,Projectname,Projectwithhours
2024-11-07 08:52:40,entry.798682550,,7.11.2024
2024-11-07 10:14:37,entry.114962959,,7.11.2024
2024-11-07 10:28:08,entry.1817660369,,21.10.2024
2024-11-07 10:28:58,entry.1817660369,,22.10.2024
2024-11-07 10:29:25,entry.1817660369,,23.10.2024
2024-11-07 10:29:53,entry.1817660369,,24.10.2024
2024-11-07 10:30:19,entry.1817660369,,25.10.2024
2024-11-07 10:30:45,entry.1817660369,,28.10.2024
2024-11-07 10:31:10,entry.1817660369,,29.10.2024
2024-11-07 10:32:58,entry.1817660369,,30.10.2024
2024-11-07 10:33:20,entry.1817660369,,31.10.2024
2024-11-07 10:34:10,entry.1817660369,,1.11.2024
2024-11-07 10:34:36,entry.1817660369,,4.11.2024
2024-11-07 10:35:01,entry.1817660369,,5.11.2024
2024-11-07 10:35:26,entry.1817660369,,6.11.2024
2024-11-07 10:35:58,entry.1817660369,,7.11.2024
2024-11-07 10:40:33,entry.1817660369,,2.11.2024
